GO Term	Study #	Study Freq.	Pop. Freq.	p-value	q-value	name	gene products
GO:0007277	10	1.3%	0.09%	2.15E-10	2.3E-8	pole cell development	AAN10908.1,AAN10907.1,AAF53477.1,ABV53667.1,AAF53478.1,AFH03711.1,AAF53479.1,AAF54387.1,AAF53046.1,AFH06322.1
GO:0030488	11	1.5%	0.11%	2.53E-10	2.61E-8	tRNA methylation	AAF50950.1,AAF45921.1,AAN11538.2,AAO41658.2,AAF54397.2,AAF54134.2,ABI31309.1,AAF45720.2,AAF53163.2,AAF57683.1,AAF47892.1
GO:0009451	25	3.3%	0.73%	2.8E-10	2.79E-8	RNA modification	AAF50409.1,AAN11538.2,AAF46709.1,AAF45578.3,AAO41658.2,AAF58861.1,AAF49701.1,AAF50950.1,API61815.1,AAF56288.3,AAF55160.1,AAF54397.2,AAS65359.1,AAF45720.2,AAF57683.1,AAF58765.2,AAS64882.1,AAF47892.1,AGB94542.1,AAF54040.1,AAF45921.1,AAF57138.2,AAF54134.2,ABI31309.1,AAF53163.2
GO:0090141	13	1.7%	0.19%	5.81E-10	5.09E-8	positive regulation of mitochondrial fission	AAF47244.2,AAF46188.1,AAZ52499.1,AAN09178.1,AAZ52500.1,AHN59423.1,AAZ52502.1,AAZ52501.1,AAF47822.1,AHN56646.1,ALI30453.1,AAZ52498.1,AAZ52497.1
GO:0048285	33	4.4%	1.3%	1.41E-9	1.17E-7	organelle fission	AHN59254.1,AAF46188.1,AAZ52499.1,AAF45636.1,AHN59423.1,AAN09088.2,AAN09087.1,AGB94319.1,AAF54053.2,AAF48064.2,AAN09178.1,AAF45793.1,AAF52013.3,AAF48983.1,AAF55450.1,AGB96057.1,AAF57799.1,AAZ52500.1,AAZ52502.1,AAF45813.1,AAZ52501.1,AHN59919.1,AHN57180.1,AAF52932.1,ACL83469.1,AAF50296.1,AHN59301.1,API61809.1,AHN56344.1,AHN59599.1,AAZ52498.1,AAZ52497.1,AHN58024.1
GO:0035234	11	1.5%	0.15%	7.34E-9	5.31E-7	ectopic germ cell programmed cell death	AAF46188.1,AAZ52499.1,AAN09178.1,AAF55062.1,AGB95946.1,AAZ52498.1,AAZ52500.1,AAZ52497.1,AHN59423.1,AAZ52502.1,AAZ52501.1
GO:0006362	8	1.1%	0.07%	7.59E-9	5.36E-7	transcription elongation by RNA polymerase I	AAF55918.1,AAF55533.1,AAF53770.1,AAF51503.1,AAF52451.1,AGB93098.1,AGB93097.1,AAF52185.1
GO:0071265	7	0.93%	0.05%	1.29E-8	8.5E-7	L-methionine biosynthetic process	AGB96017.1,AAX52944.1,AAG22140.2,AFH06346.1,AAN13478.1,AAN13479.1,AAF55315.1
GO:0034654	57	7.6%	3.5%	3.2E-8	1.89E-6	nucleobase-containing compound biosynthetic process	AAN10908.1,AAF53386.1,AAF46709.1,AAN14182.1,AAF55311.2,AAF51580.2,AAF47589.1,AGB92892.1,AAF46016.1,AHN57934.1,AGB96461.1,AAF53478.1,AAF47566.1,AAF50032.1,AAF50439.1,AAG22140.2,AAN13709.1,AAF53770.1,AFH06678.1,AGB93098.1,AAF52185.1,AAF55918.1,AAF54828.2,AAF54482.2,AAN13479.1,AAF46270.1,AAF52451.1,AAF46440.1,AAF56929.1,AAN10907.1,AGB96459.1,AAF53477.1,AAO41239.1,AHN57933.1,AFH03711.1,AAF53479.1,AGB96460.1,AAF51503.1,AAF54811.2,AAF52000.1,AGB94414.1,AAX52944.1,AAF52038.1,AAF55533.1,AFH06677.1,AAF52013.3,AFH06346.1,AAF56024.1,AAF52978.1,AGB93097.1,AAF54069.1,ALI30530.1,AHN57180.1,AFH07281.1,ACL83469.1,ADV37303.1,AAN13478.1
GO:0035736	6	0.8%	0.04%	3.52E-8	2.04E-6	cell proliferation involved in compound eye morphogenesis	AAN10908.1,AAN10907.1,AAF53477.1,AAF53478.1,AFH03711.1,AAF53479.1
