GO Term	Study #	Study Freq.	Pop. Freq.	p-value	q-value	name	gene products
GO:0070309	4	0.53%	0.04%	2.18E-4	3.25E-3	lens fiber cell morphogenesis	AGB93237.1,AGB93236.1,EAA45988.2,EAL24542.1
GO:0019068	4	0.53%	0.04%	2.18E-4	3.25E-3	virion assembly	AGB93237.1,AGB93236.1,EAA45988.2,EAL24542.1
GO:0022401	4	0.53%	0.04%	2.18E-4	3.25E-3	negative adaptation of signaling pathway	AGB95616.1,AGB95615.1,AAF50946.2,AAF50943.2
GO:0048133	5	0.66%	0.08%	2.41E-4	3.31E-3	male germ-line stem cell asymmetric division	AAF55450.1,AAF53043.1,AGB96057.1,AHN54339.1,AAF50740.1
GO:0090407	40	5.3%	2.9%	2.72E-4	3.65E-3	organophosphate biosynthetic process	AAN14182.1,AAF48246.1,AAF55311.2,AHN56444.1,AAF50327.1,AAF47589.1,AGB93643.1,AGB92892.1,AGB96459.1,AAN13980.1,AHN57933.1,AHN57934.1,AAF56228.1,AGB96461.1,AGB95353.1,AGB96460.1,AHN56425.1,AAF54568.1,AAF54811.2,AAF46633.2,AAX52944.1,AAG22140.2,AAN13709.1,AFH06677.1,AFH06678.1,AFH06346.1,AAF52978.1,ABV53862.1,AAF54069.1,AHN59667.1,AAF51258.2,AFH07281.1,AAF47510.1,AAN13478.1,AAN13479.1,AAN13979.1,AAF46270.1,AAF57482.1,AAF57481.1,AAF56929.1
GO:0045035	6	0.8%	0.13%	3.29E-4	4.34E-3	sensory organ precursor cell division	AAN10908.1,AAN10907.1,AAF53477.1,AAF53478.1,AFH03711.1,AAF53479.1
GO:0006526	3	0.4%	0.02%	3.49E-4	4.51E-3	L-arginine biosynthetic process	AAO41174.2,AHN54282.1,AAF52721.3
GO:0042355	3	0.4%	0.02%	3.49E-4	4.51E-3	L-fucose catabolic process	AAF52773.4,AHN54294.1,AHN54293.1
GO:0036445	3	0.4%	0.02%	3.49E-4	4.51E-3	neuronal stem cell division	AAF52773.4,AHN54294.1,AHN54293.1
GO:0071454	3	0.4%	0.02%	3.49E-4	4.51E-3	cellular response to anoxia	AAM68794.2,AAM68793.1,AAF58904.1
GO:0048136	3	0.4%	0.02%	3.49E-4	4.51E-3	male germ-line cyst formation	AGB95579.1,AAF45372.2,AGB95580.1
GO:0051301	30	4.0%	2.0%	4.04E-4	4.98E-3	cell division	AAN10908.1,AAN10907.1,AAF52773.4,AAF54723.1,AAF49701.1,ADV37544.1,AAF49740.3,AAF53477.1,AAF53478.1,AFH03711.1,AAF53479.1,AAF54053.2,AGB94647.1,AAF58006.1,AAF50740.1,AAF49663.3,AAF56330.3,AAF55450.1,AAF53043.1,AGB96057.1,AHN54294.1,AHN54293.1,AGB94562.1,AAF57799.1,AGB94542.1,AGB94533.1,AAF52932.1,AHN56344.1,AHN54339.1,AAF49446.1
GO:0046427	9	1.2%	0.3%	4.54E-4	5.54E-3	positive regulation of receptor signaling pathway via JAK-STAT	AAF55799.1,ACZ94962.1,AAN10908.1,AAN10907.1,AAF53477.1,AAN14363.1,AAF53478.1,AFH03711.1,AAF53479.1
GO:0007096	7	0.93%	0.19%	4.99E-4	6.04E-3	regulation of exit from mitosis	AAN10908.1,AAN10907.1,AAF53477.1,AAF57298.1,AAF53478.1,AFH03711.1,AAF53479.1
GO:0009566	9	1.2%	0.31%	5.62E-4	6.69E-3	fertilization	ACL83214.1,AAF47333.3,AAF52773.4,AAF45793.1,ACL83215.1,AHN59301.1,AHN54294.1,AHN54293.1,AAF57441.1
GO:0007026	7	0.93%	0.2%	6.63E-4	7.79E-3	negative regulation of microtubule depolymerization	AAF57173.1,ADV37544.1,AGB93418.1,AAF58684.1,AGB96526.1,AGB94562.1,AAF49663.3
GO:0031134	3	0.4%	0.03%	6.81E-4	7.91E-3	sister chromatid biorientation	AGB94319.1,AAF50296.1,AHN58024.1
GO:0070585	9	1.2%	0.32%	6.91E-4	7.91E-3	protein localization to mitochondrion	AAF46188.1,AAZ52499.1,AAN09178.1,AAZ52498.1,AAZ52500.1,AAZ52497.1,AHN59423.1,AAZ52502.1,AAZ52501.1
GO:0006275	10	1.3%	0.4%	8.15E-4	9.21E-3	regulation of DNA replication	AAF50387.1,AAF50735.1,AAN10908.1,AAN10907.1,AAF53477.1,AAF53478.1,AFH03711.1,AAF53479.1,AAF52932.1,AAF45743.1
