Dmel_CG7142	1866.40271392252	-7.16693919784374	0.275120080090433	-26.0502221265999	1.33757274058949e-149	1.24099998871893e-145
Dmel_CG30035	2978.77867302194	-2.89199646464212	0.165870220653013	-17.435296421845	4.452450721093e-68	2.06549188951504e-64
Dmel_CG11765	741.375798609267	5.23119108695481	0.329221291592708	15.8895892232466	7.48162283934477e-57	2.31381655678136e-53
Dmel_CG11614	765.522032288306	-3.38515105882639	0.223128104756411	-15.1713342544722	5.47523825339548e-52	1.26998151287508e-48
Dmel_CG7554	423.759518581271	-4.37724848819023	0.292857081137001	-14.9467053048395	1.63647655853352e-50	3.0366459020148e-47
Dmel_CG18446	1098.51814612658	-2.68690620196385	0.183861942490343	-14.613715952147	2.29643217240242e-48	3.55104961592494e-45
Dmel_CG5399	4821.93755219166	-2.30161611622649	0.158355709414002	-14.5344687901918	7.32797827082715e-48	9.71271177096205e-45
Dmel_CG13780	4623.33196916488	-2.08342111221427	0.144814091758641	-14.3868672372484	6.25664090546177e-47	7.25613929010929e-44
Dmel_CG44251	608.639918817282	-4.51992920768057	0.317885927257205	-14.2187143881442	7.01294637354348e-46	7.2295684948596e-43
Dmel_CG14029	1565.24698968122	-2.36247692553677	0.169911045610946	-13.9041986178241	5.97321277678917e-44	5.54194681430499e-41
Dmel_CG15095	1427.93841890543	-2.44501857979093	0.178828383821727	-13.6724301117005	1.48356629486669e-42	1.25132073488847e-39
Dmel_CG17836	15788.2947114752	-2.0239529882881	0.152693888346403	-13.2549705178543	4.22282837097747e-40	3.26495013549408e-37
Dmel_CG8095	1755.10002472692	-2.06418936319431	0.155914476963948	-13.2392411749655	5.20722779538599e-40	3.71635842196856e-37
Dmel_CG17531	719.547526792547	-2.51646292919674	0.192822026652815	-13.0507026239681	6.29640176635044e-39	4.1727153991571e-36
Dmel_CG1004	1565.55342803609	-2.54044746136685	0.200211759738302	-12.6888024194357	6.82209365635821e-37	4.21969232957943e-34
Dmel_CG12405	304.29237997317	5.16558600044788	0.414284755394118	12.4686847227428	1.10637108989956e-35	6.41556935755508e-33
Dmel_CG4786	1343.3127559664	-3.2209105437198	0.259970783596061	-12.3895096947679	2.97858907459984e-35	1.62560879024337e-32
Dmel_CG8256	2728.44147974266	-1.87797011980764	0.151661288879731	-12.3826596337111	3.24411056676265e-35	1.67215876880133e-32
